[00:00:00] 那我們就開始今天課程
[00:29:49] 這一類的話他就不出圖他們會他們會自我審查
[00:29:53] 但是這個是他是很open的
[00:29:57] 你想畫什麼幾乎都可以畫
[00:29:59] 我是沒有畫過瑟瑟的啦
[00:30:00] 但是蠻多一些政治上一些有爭議的圖他是可以畫出來的
[00:30:07] 那大家知道他為什麼嗎
[00:30:08] 他頭是誰大家知道嗎
[00:30:12] 特斯拉的馬斯克
[00:30:14] 就是馬斯克對
[00:30:15] 他的頭給他背後老闆是那個那個馬斯克對
[00:30:19] 這是
[00:30:21] 今天我們也會讓大家去試試看
[00:30:22] 好
[00:30:24] 再來其他工具這個是之前蠻紅的
[00:30:27] 是不過這個因為它是在這個網站是在大陸
[00:30:31] 我往大陸然後所以理論上我們台灣的公務部門包括學校的電腦是不能使用
[00:30:39] 所以大家如果有興趣可以在家裡試試看
[00:30:41] 它是一個可以推理
[00:30:42] 現在生成是很多是講究一個功能叫做推理
[00:30:46] 推理就是說我今天不是單純問答你你你
[00:30:51] 你平常可能丟個問題給他他回答你或幫你做好事情
[00:30:55] 那推理的話是怎麼樣他會告訴你我怎麼思考的
[00:30:58] 他會自問自答哦
[00:30:59] 我覺得要先怎麼樣怎麼樣
[00:31:02] 先規劃好架構哦然後架構完了
[00:31:04] 列出來之後他會自言自語你會看到他自言自語的過程還蠻有趣的
[00:31:09] 但是可以看出他的思考流程
[00:31:11] 他是怎麼產出這份文件
[00:31:13] 那所以通常用有推理的就會產出的品質就會更好
[00:31:19] 它不是它不單純只是用文字這樣湊來湊去
[00:31:22] 他是他有在思考
[00:31:24] 那如果老師用像老師你有付費對不對
[00:31:27] 你用過O3嗎
[00:31:30] 沒有沒有用過
[00:31:31] O3你選那個模型選O3就是它是那種輸出品質就是推理的
[00:31:36] 它有推理功能對
[00:31:38] 所以老師們一般用的其實有的也有推理啦
[00:31:41] 只是他不是很我覺得不是很顯著
[00:31:46] 好這個是對岸的
[00:31:49] 之前蠻厲害的可是最近好像評價要變得比較沒那麼強
[00:31:52] 最近啦
[00:31:53] 好沒關係這個有空大家可以去試
[00:31:56] 好這是推理模型然後
[00:31:59] 來我們現在玩一個東西好了我覺得想要讓大家玩那個這個一定要學會叫做Napkin
[00:32:04] 來老師我們來畫心智圖好了
[00:32:07] 它心智圖在哪裡
[00:32:08] 我們看
[00:32:10] 看一下
[00:32:11] 老師我們試試看哦在剛剛那個AI搜尋引擎有嗎
[00:32:17] 這邊對不對
[00:32:18] 下面是不是有個心智圖首選
[00:32:22] 那你點那個點進去
[00:32:24] 那也要Google登錄試試看
[00:32:27] 看一下
[00:32:35] 好老師就選你就選就是用Google登錄
[00:32:41] 可是因為登錄畫面可能maybe你的跟我登錄後可能會跟我有點不一樣
[00:32:52] 我們今天那個下午我們做一個課程的一個設計
[00:32:57] 我就蠻推薦大家用這個因為他可以把你把你一些很龐雜的想法
[00:33:03] 你你把你無論什麼想法就是很龐雜沒有很甚至是粗糙的
[00:33:08] 你也不用特別整理就整個丟給他貼給他他會幫你整理好
[00:33:12] 而且要生出各種版本的新字圖
[00:33:15] 好老師可以嗎可以進去
[00:33:18] 可嗎然後有出現一個像我中間那個白紙
[00:33:22] 老師你可以隨便找一篇文章貼上去
[00:33:25] 老師就讓它去找就可以隨便貼一篇文章然後貼上去之後
[00:33:31] 就隨便貼一個網路上隨便收啦
[00:33:33] 像我這邊就找了隨便就
[00:33:36] Wiki找一個黑洞的文章就貼上去
[00:33:39] 然後它就會幫你去生成一些生成那個心智圖
[00:33:46] 這個可以我真的建議大家可以學學會這個還超級方便的
[00:33:51] 而且目前它還是免費的
[00:33:54] 老師我會推薦大家建議大家一件事就是說大家可能有時候會習慣用Google的翻譯對不對
[00:34:01] 我的經驗是你用Google那個瀏覽器點翻譯之後是會變成中文了但是常常如果你是用這種AI的服務的話
[00:34:09] 會失敗失敗意思就是說他就不能運作就出現這種很很怪的狀況
[00:34:15] 所以老師們可能會看到為什麼我我是用那個英文版
[00:34:19] 因為它有時候它變成中文版之後有些功能就會變就就work也很奇怪
[00:34:26] 所以就是這類AI的網站跟服務就盡量維持它原本的語言
[00:34:32] 那有時候很倒霉是瀏覽器自己翻譯了你也不知道
[00:34:37] 上右下角這邊老師你有看到一個瀏覽器這邊是不是可以翻譯對不對
[00:34:42] 這個
[00:34:43] 這邊對不對
[00:34:44] 瀏覽器這個
[00:34:45] 好
[00:34:47] 他有時候不小心點到中文版體
[00:34:49] 它就會這個網站就變版體中文
[00:34:51] 可是有時候運作就會很怪就很不正常
[00:34:54] 所以我會建議大家就是維持原本的語言的模式
[00:34:59] 大家可以有做出管了
[00:35:01] 你的文字貼上去它像我這邊是出現上白紙
[00:35:06] 像我昨天我在規劃一個
[00:35:10] 像這個今天簡報上的內容就是我是用這個伸出來
[00:35:16] 這是我這個那你怎麼做你你很簡單你只要去選取這個文字
[00:35:24] 我要生我要生心智圖很簡單選取文字之後
[00:35:28] 旁邊有個閃電有沒有
[00:35:30] 那個閃電點下去
[00:35:32] 這個閃電
[00:35:33] 點下去之後它就開始生
[00:35:37] 好老師有看到他生出來了
[00:35:39] 然後有各種老師可以選樣式
[00:35:42] 你喜歡什麼它長什麼樣子
[00:35:46] 這個超好用的
[00:35:49] 這個Napkin
[00:35:52] 那如果這邊你老師你都不喜歡下面還有一個more就是更多這樣子
[00:35:57] 他們的樣式很多
[00:35:59] 那你如果老師你選定某一種
[00:36:02] 還可以再調整比如說選定它了
[00:36:05] 這個積木的style對不對
[00:36:07] 好
[00:36:09] 積木style那你就點一下
[00:36:11] 進去還可以再選
[00:36:12] 我希望我的積木這個整個style長什麼樣子
[00:36:18] 嘿
[00:36:19] 所以這個工具蠻推薦給大家
[00:36:21] 而且它目前都還是免費的
[00:36:25] 那如果你不喜歡就點這個的箭頭退出來
[00:36:31] 好這個Napkin
[00:36:33] 老師隨便網路上找一篇文章丟上去它就會幫你做類似做摘要然後整理完就整理出重點
[00:36:40] 然後就幫你畫出心字圖
[00:36:42] 好謝謝
[00:36:42] 那我就繼續用
[00:36:44] 沒關係等下我們在做鈔票課程的時候
[00:36:47] 會讓大家去實作的時候大家都是沒關係你就可以
[00:36:51] 那時候有任何問題都歡迎
[00:36:54] 操作上的或是什麼都可以發問
[00:36:56] 都可以協助
[00:36:57] 好那我再往下講
[00:36:59] 那AI生圖會有一些限制因為我們現在要講鈔票的話那鈔票就是
[00:37:04] 其實它的股子裡就是AI生圖
[00:37:06] 但是我今天並不是要我的目的不是坦白說不是AI生圖
[00:37:12] 我整節課的目的是要讓學生設計鈔票
[00:37:15] AI生圖只是最後的手段
[00:37:18] 就是跟老師們報告一下其實
[00:37:21] 他最後我希望是行塑它前面
[00:37:22] 設計設計這個鈔票
[00:37:24] 它需要具備哪些概念
[00:37:26] 哪些音價要先搭起來
[00:37:28] 哪些知識要先建構好
[00:37:32] 好比如說像那AI生圖有時候會這些限制
[00:37:35] 大家可以看一下
[00:37:36] 如果老師有在做我之前有在做AI的會本
[00:37:40] 那AI會本就很麻煩了就是
[00:37:42] 老師知道那個AI生圖
[00:37:44] 我生第一張跟第二張其實兩張有時候是沒有關聯
[00:37:49] 那可是會本是需要什麼我裡面的角色是要連貫的嘛
[00:37:53] 比如說三隻小豬你要第一張到最後一張都要是那三隻嘛對不對
[00:37:58] 可是在以前的AI生圖它就會跑掉
[00:38:01] 對那現在用像我剛剛介紹那個Google的AI Studio就可以解決這個問題
[00:38:06] 他可以一次把比如說三隻小豬假設會本你你叫他產出十十頁好了產出十張圖
[00:38:13] 你只要跟他說我要這十張圖裡面的角色比如說外觀一致衣著一致等等
[00:38:19] 他就可以生出一致的圖現在已經很輕鬆了
[00:38:22] 以前要用以前要用非常多奇奇怪怪的技巧
[00:38:26] 對而且很麻煩
[00:38:28] 而且還不保證一定是什麼角色的連續這件事是可以做到的
[00:38:35] 但現在已經很輕鬆了
[00:38:37] 那Google不是Google對不起那AI進展真的很快
[00:38:41] 好那生圖有時候就會有這些限制
[00:38:43] 哥你看這個是我這張圖大家知道是什麼
[00:38:46] 還記得
[00:38:48] 那個德司機跑去跟他們開會後來不是完對
[00:38:54] 好
[00:38:55] 像這樣這張圖啊為什麼我用這張圖來做解釋
[00:38:58] 因為我看到談到說我們可能有時候要做一些
[00:39:03] 要突破因為AI會自我審查
[00:39:05] 可是你看我想要做這樣子
[00:39:08] 你看這是什麼
[00:39:14] 大家看到這是AI的影片
[00:39:16] 對其實這個是我我有一個課程是教小朋友做假新聞
[00:39:21] 你說小黑你為什麼要教他們做假新聞
[00:39:23] 其實我要讓孩子們去體會說
[00:39:26] 其實現在生成一個假新聞的成本門檻很低
[00:39:28] 你們三四年級都做得出來
[00:39:31] 我最後的目的是希望說你不要去輕易看到不要去輕易相信你在網路上電視上看到的東西
[00:39:38] 其實我的目的是這樣
[00:39:39] 我跟他們看說你看你們都做得出來
[00:39:42] 那所以網路上那些
[00:39:45] 影片照片你們不要第一時間就相信
[00:39:49] 其實我在做這件事
[00:39:50] 所以這個呢
[00:39:52] 其實這個照片是真的日日他們那時候開會真正的照片
[00:39:56] 可是這個是我偽造的影片
[00:39:59] 那因為大家都知道今天假新聞或假訊息為什麼要他為什麼要生產這個東西一定有他背後的原因
[00:40:07] 其實我也會讓小朋友去探討說那為什麼他們要做這件事他們的目的是什麼
[00:40:13] 好
[00:40:15] 這個我們等下會講到
[00:40:18] 好那選擇世界的工具很重要
[00:40:21] 好老師你你看一下
[00:40:23] 你比較喜歡哪一張哪一張鈔票
[00:40:27] 是彩是左邊還右邊
[00:40:31] 這個是用
[00:40:35] 這個畫的彩色版
[00:40:38] 這個是GVT
[00:40:41] 就鈔票來說好像這張比較比較莊重
[00:40:46] 顏色上面對
[00:40:47] 那然後
[00:40:49] 其實它現在它如果老師用它的那個魔法媒體工具就是AI畫圖那個品質比以前好是因為它去併購了一家公司叫里奧納多
[00:41:00] 有里奧納多也是會圖平台今天也會講到
[00:41:02] 里奧納多那個平台被買了
[00:41:05] 所以它現在畫出來的圖還還不錯
[00:41:08] 所以這老師們如果你回去帶的小孩做可以用
[00:41:12] 當因為GBT理論上18歲以下是不能用
[00:41:16] 那為什麼我可以用
[00:41:18] 沒有家長日我會跟家長講好
[00:41:21] 我說我會帶他用這個
[00:41:22] 我其實我跟他們先說好
[00:41:24] 好那如果老師們回去有這方面有困難
[00:41:27] 你你是用也可以
[00:41:29] 的生圖可以可以去生這個什麼就是鈔票
[00:41:35] 老師們等下就可以玩到
[00:41:36] 那這就是不同的工具
[00:41:39] 各位它的這兩張鈔票的prompt一模一樣
[00:41:44] 一模一樣就是我寫的內容都是一樣的
[00:41:47] 可是差異很大
[00:41:49] 差異很大好所以要老師們要去選擇你覺得適合的工具
[00:41:55] 好
[00:41:57] 好那在這邊前面講了很多阿薩一些工具的東西
[00:42:01] 但是在進入教學之前我其實我自己有對自己的個靈魂拷問
[00:42:06] 那因為其實我個人是很反對讓小孩無腦用AI這件事
[00:42:12] 其實有的孩子真的
[00:42:14] 我怕你夥伴們的孩子學校的小朋友會不會這樣
[00:42:19] 因為我們那邊我們學校是在
[00:42:21] 海山是在新板特區就是新北天龍國
[00:42:26] 對我們也是
[00:42:27] 新板特區就是新北我這樣講好像有點那個
[00:42:32] 就是那邊的社經背景環境就是真的不錯
[00:42:35] 小朋友會很習慣用AI去做一些功課
[00:42:38] 他會去用它寫作文
[00:42:40] 或者是對他會寫一些
[00:42:42] 他們我發現因為那個AI產出的東西會有一些痕跡
[00:42:44] 大家應該看久了就知道
[00:42:46] 那個這對啊就是小朋友會被我抓過來的
[00:42:50] 對那我我很反對孩子無腦用AI
[00:42:53] 那所以我在用AI之前設計這個課程之前我就去思考這個工具的定位
[00:43:00] 我要避免這件事我不要他無腦用AI
[00:43:03] 所以呢在我的教學裡面會是這樣
[00:43:10] 來老師們請看一下我覺得
[00:43:12] 第一個我其實今天老師你看到我們的課程我在模擬一件事
[00:43:17] 叫做人機共助
[00:43:19] 就是其實就是我們現在我們在跟AI合作的模式
[00:43:23] 我希望模擬成他們未來工作他們未來工作一定是這樣我跟AI合作
[00:43:28] 但是我不希望他們是無腦的去用
[00:43:31] 所以我前面會有很多的鋪成
[00:43:33] 哪些鋪成老師你可以看到第一個有領域的知識
[00:43:37] 還有領域的知識你要那個background你要那個音價先架起來
[00:43:41] 然後你要文字論述能力就是說我能夠把這個東西描述的很清楚其實那個就是所謂的prompt對不對
[00:43:49] 提示
[00:43:50] 我一定要這樣很強很強的background
[00:43:53] 比如說我今天要設計鈔票
[00:43:54] 那我的提示詞絕對不會是欸你幫我生一張台灣的鈔票16比9面額500
[00:44:00] 不會這樣是在我來看來是不合格的
[00:44:03] 我會要求小朋友說你的prompt要你要怎麼樣去下你的prompt
[00:44:07] 你要包含哪些元素
[00:44:10] 那這個元素這些的來源就會根據你的背景知識
[00:44:13] 好
[00:44:15] 好那再來就是所謂下面三個是所謂的工具的認識運用跟工具的意義
[00:44:20] 就是說像這個工具在這邊到底有沒有它的意義存在
[00:44:25] 所以我的很多課程跟老師報告就是其實你把AI抽掉也是可以的
[00:44:28] 它還是本來就可以運作像鈔票這件事情
[00:44:31] 嗯這邊
[00:44:33] 我這邊有那個學習單等下可以給大家看其實我在鈔票設計這設計之前是有這個紙本的
[00:44:37] 有紙本的鈔票先做其實理論上我們以前就有類似的課程
[00:44:42] 就是設計鈔票對不對那我就是請小朋友設計出紙本的鈔票
[00:44:46] 那AI的是多多出來
[00:44:48] 但其實這個課程大家
[00:44:50] 沒錯嘛我我可以不要AI啊
[00:44:52] 對啊我本來傳統的課程就可以有這樣的東西
[00:44:55] 只是我最後呢
[00:44:56] 只是讓他去模擬你跟AI可以合作
[00:45:00] 在你前面已經建構好完整的音價跟知識背景
[00:45:05] OK我們再來用AI
[00:45:07] 所以我的課程理念會比較偏向這樣
[00:45:10] 就是你要先把你的音價還是要先架好
[00:45:13] 好
[00:45:14] 所以老师们就看一下我的
[00:45:17] 架構它就是這樣其實跟剛剛一樣
[00:45:19] 第一個是基礎音價它的背景知識還是要建立
[00:45:23] 然後第二個是所謂的簡合點
[00:45:25] 那簡合點就是說我要知道你到底學會了沒這個概念你懂了
[00:45:30] 我就才會往下一步走
[00:45:32] 大家可以稍微看一下下
[00:45:35] 就可以請老師看看就是大概
[00:45:37] 這個是學生作品就是說
[00:45:39] 這個也是簡合點之一啦
[00:45:42] 是我要讓他確認就是說我要確認說你是不是已經知道這個概念你是不是學會了
[00:45:48] 但這張學很簡單我跟你說這張學
[00:45:50] 因為我有一些是放在討論是放在上面
[00:45:54] 好
[00:45:56] 那今天設計鈔票裡面要放什麼元素
[00:46:00] 這是第一件事
[00:46:01] 老師你有想過鈔票你要放什麼
[00:46:04] 好第二個鈔票裡的東西第一個要放哪些元素對不對
[00:46:08] 那這個要結合什麼課程我是結合社會
[00:46:11] 最主要是社會課
[00:46:13] 因為我們社會課有介紹台灣的
[00:46:16] 欸是是四上還三下
[00:46:19] OK對就是介紹台灣的什麼
[00:46:22] 物產啊台灣的地形啊台灣的特色啊就是這些東西
[00:46:26] 我要確認你這些概念都具備了你懂了你才來再下一步進到設計鈔票這就是一個檢合點
[00:46:34] 好老師可以理解我的意思
[00:46:36] 所以那個紙本鈔票也可以算一個檢合點
[00:46:38] 我要看到你紙本的鈔票裡面放的東西對不對
[00:46:41] 像我剛剛發下去有一張可能是什麼放櫻花鉤吻龜還是什麼
[00:46:45] 對他就是知道說這是代表台灣的
[00:46:48] 有這個意涵在
[00:46:49] 或是有的有一張好像很好玩還是放珍珠奶茶的
[00:46:52] 有一個很好笑對
[00:46:54] 他還放台積電的晶片
[00:46:57] 他他知道這些東西是台灣的要素
[00:46:59] 可以放到鈔票上
[00:47:01] 這就是我的我其實是在社會課就需要去建立的東西
[00:47:06] 好大家應該可以理解我的意思
[00:47:07] 就是我不會讓他無腦去生鈔票
[00:47:09] 他還是要有基礎的這些音價先搭建好
[00:47:13] 好那最後呢就是會用試用的AI工具再做人機共助的產出
[00:47:18] 所以老師還是就請大家去思考就是以後如果你要設計這樣的課程你要把AI擺在什麼樣的位置
[00:47:25] 然後在什麼時候去使用
[00:47:28] 好大家可以大家可以看一下那個學習單好大家學習單
